sample,question,ground_truth,raw_prediction,prediction,correct,question_type
1,"In the western section of the neighborhood, has a tree been planted at the front corner of a residential lot near the curved street?",Yes,Yes,yes,True,Yes/No
2,"In the northeast section of the property, what change occurred to the building located there?  **A)** It was replaced by a larger, rectangular structure with a different orientation. **B)** It was demolished to create a new gravel parking area. **C)** It remained exactly the same, while new buildings were constructed around it. **D)** It was expanded and connected to the building immediately to its south.",A,A,a,True,Multiple Choice
3,"Regarding the front yard of the property located at the northeastern curve of the cul-de-sac, what change can be observed between the two images?  **A)** A tree has been removed. **B)** A tree has been planted. **C)** A fence has been built around a tree. **D)** The tree has been replaced by a paved walkway.",B,B,b,True,Multiple Choice
4,What change is visible to the unpaved road located on the left side of the image?  **A)** It was paved into a finished road. **B)** It was expanded and covered with more sand. **C)** It was replaced by a row of houses. **D)** It was abandoned and reclaimed by natural vegetation.,A,A,a,True,Multiple Choice
5,"Considering the overall configuration and layout across the two temporal captures, which of the following best characterizes the relationship between the scenes?  **A)** Significant global alteration and structural reconfiguration **B)** High degree of visual parity and scene consistency **C)** Moderate temporal deviation and layout variance **D)** Pronounced shift in spatial coherence and distribution",B),B,b,True,Multiple Choice
6,"On the eastern side of the street near the end of the cul-de-sac, what change has occurred to the undeveloped plot of land?  **A)** The lot was paved over to create a parking area. **B)** A new residential building was constructed. **C)** The existing structure was demolished to create open space. **D)** A community playground was installed.",B,A,a,False,Multiple Choice
7,Has the small pool of water in the southwest section of the image become noticeably darker and more clearly defined?,Yes,Yes,yes,True,Yes/No
8,"In the bottom-left corner of the neighborhood at the street intersection, what change can be observed regarding the sidewalk?  **A)** It has been demolished. **B)** A new section of sidewalk has been constructed. **C)** The sidewalk has been repaved with asphalt. **D)** The sidewalk has been narrowed.",B,B,b,True,Multiple Choice
9,"Has a new rectangular building with a light-colored roof been constructed in the western portion of the site, situated at the northern end of a newly added row of structures adjacent to the parking lot?",Yes,Yes,yes,True,Yes/No
10,What change is observed in the curved path that connects the northern parking lot to the main diagonal road?  **A)** It was paved. **B)** It was demolished. **C)** It was significantly widened. **D)** It was relocated further west.,A,A,a,True,Multiple Choice
11,"Looking at the top right section of the images, what change occurred to the unpaved dirt trail area?  **A)** It was converted into a densely forested area. **B)** It was paved and developed into a road and parking infrastructure. **C)** It was excavated to create a deep drainage ditch. **D)** It remained unchanged while the surrounding area was cleared.",B,B,b,True,Multiple Choice
12,"Has a network of paved roads been constructed across the center and western portions of the area, replacing what was previously an open field and farm structures?",Yes,Yes,yes,True,Yes/No
13,What change has occurred to the sidewalk segment located along the curve of the street in the center-left portion of the neighborhood?  **A)** It was recently constructed. **B)** It was demolished. **C)** It was widened for a bike lane. **D)** It was repaved with a darker material.,B,A,a,False,Multiple Choice
14,Has a newly constructed sidewalk been added along the perimeter of the cul-de-sac on the western side of the image?,Yes,Yes,yes,True,Yes/No
15,"Has the light-colored building located on the western edge of the dense cluster of trees, north of the main road, been demolished?",Yes,Yes,yes,True,Yes/No
16,"Focusing on the front yard of the house located on the western side of the street that runs diagonally from the top-left toward the bottom-right of the images, what change has occurred to the tree in that location?  **A)** A new tree was planted. **B)** The tree was removed. **C)** The tree was relocated to the backyard. **D)** The tree was replaced by a small shed.",A,B,b,False,Multiple Choice
17,"Looking at the lower-right portion of the images, specifically at the site on the southern side of the suburban street, what change has occurred?  **A)** A new house has been built where there was previously undeveloped land. **B)** An existing structure was completely demolished and the site cleared. **C)** A large swimming pool was added to an existing backyard. **D)** The site was cleared of vegetation but left as a vacant dirt lot.",A,D,d,False,Multiple Choice
18,What change can be observed in the sidewalk located along the northern curve of the cul-de-sac in the upper-left portion of the images?  **A)** It was demolished. **B)** It was newly constructed. **C)** It was widened. **D)** It was relocated to the opposite side of the street.,A,C,c,False,Multiple Choice
19,How would you characterize the overall relationship between these two image captures in terms of their visual parity?  **A)** Significant structural reconfiguration is evident across the scene. **B)** The images exhibit a high level of temporal stability and scene consistency. **C)** There is a moderate amount of global alteration between the two frames. **D)** A pronounced level of variance in the overall configuration is observable.,B,B,b,True,Multiple Choice
20,"Looking at the residential neighborhood adjacent to the diagonal road, what change has occurred to the large tree situated in the yard between two houses in the lower-middle portion of the image?  **A)** Its foliage has changed color from green to brown. **B)** It has been cut down or removed. **C)** It has been replaced by a small storage shed. **D)** A new swimming pool was constructed around it.",B,B,b,True,Multiple Choice
21,"What change is visible in the grassy area at the top left of the neighborhood, situated between the sidewalk and the road?  **A)** The small trees have grown significantly. **B)** The trees have been removed and replaced with a paved walkway. **C)** A new fire hydrant was installed in that location. **D)** The trees were cut down, leaving only a patch of grass.",A,A,a,True,Multiple Choice
22,"What change is observed regarding the paved road running diagonally through the center of the area between the first and second images?  **A)** A new paved road was constructed where there was previously natural, wooded terrain. **B)** An old, dilapidated road was completely removed and replaced with a forest. **C)** The existing road was extended into the neighboring field. **D)** A gravel path was upgraded to a four-lane highway.",A,A,a,True,Multiple Choice
23,"In the southeastern section of the area, has a new residential building been constructed at the eastern end of the row of houses?",Yes,Yes,yes,True,Yes/No
24,Has the tree located in the bottom-central portion of the terrain been removed to make way for the construction of a residential driveway in the new housing development?,Yes,Yes,yes,True,Yes/No
25,Has the tree in the front yard of the house located in the lower right quadrant of the residential area significantly grown in size and density?,Yes,Yes,yes,True,Yes/No
26,"Has a concrete sidewalk been constructed at the street corner in the north-central portion of the area, coinciding with the transition from a rural lot to a residential neighborhood?",Yes,Yes,yes,True,Yes/No
27,"Focusing on the northern side of the street in the center of the images, what happened to the segment of sidewalk located between the two residential driveways?  **A)** It was widened. **B)** It was demolished. **C)** It was repaved with asphalt. **D)** It was extended to connect to the neighboring property.",B,B,b,True,Multiple Choice
28,"In the southeastern section of the image, has a new building been constructed on what was previously an open field?",Yes,Yes,yes,True,Yes/No
29,"Focusing on the clearing to the southeast of the building with the green roof, what notable change has occurred between the two images?  **A)** A building was constructed. **B)** A building was demolished. **C)** A new road was paved through the area. **D)** A swimming pool was installed.",A,B,b,False,Multiple Choice
30,"Has the tree in the front yard of the house situated on the southern side of the street, just east of the central cul-de-sac, grown larger and developed a more visible branch structure?",Yes,Yes,yes,True,Yes/No
31,Has a new paved road been constructed running diagonally through the central portion of the area?,Yes,Yes,yes,True,Yes/No
32,"Has a new residential building been constructed in the upper right section of the image, replacing what was previously an area of natural vegetation?",Yes,Yes,yes,True,Yes/No
